Level,Date,State FIPS,State Postal Code,County FIPS,County Name,Population Staying at Home,Population Not Staying at Home,Number of Trips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500,Row ID,Week,Month
County,2022/05/08,06,CA,06037,Los Angeles County,2501223,7537884,31396920,8172737,7498176,3965842,4862062,4615038,1486124,493900,207158,71451,24432,06-06037-20220508,19,5
County,2022/05/09,06,CA,06037,Los Angeles County,2365106,7674001,33690335,9177687,8248298,4242957,5171124,4726029,1441200,425146,164205,68693,24996,06-06037-20220509,19,5
County,2022/05/10,06,CA,06037,Los Angeles County,2251109,7787998,35971022,10002423,8903662,4558367,5483536,4914421,1453067,412089,151979,67174,24304,06-06037-20220510,19,5
County,2022/05/11,06,CA,06037,Los Angeles County,2479821,7559286,30997498,8023383,7445332,3993423,4981799,4584751,1379332,377311,132435,57974,21758,06-06037-20220511,19,5
County,2022/05/12,06,CA,06037,Los Angeles County,2075526,7963581,33781520,10378129,8466071,3993778,4841533,4237448,1312715,332916,137695,53908,27327,06-06037-20220512,19,5
County,2022/05/13,06,CA,06037,Los Angeles County,2464229,7574878,31563599,7978484,7647662,4080671,5034714,4671473,1457797,428224,173446,66303,24825,06-06037-20220513,19,5
County,2022/05/14,06,CA,06037,Los Angeles County,2606673,7432434,25567060,6193951,6088358,3233019,4069407,3979498,1334752,420802,158036,65324,23913,06-06037-20220514,19,5
County,2022/05/01,06,CA,06037,Los Angeles County,2467928,7571179,30632834,7798438,7315056,3910171,4818941,4537261,1479271,485177,192061,71686,24772,06-06037-20220501,18,5
County,2022/05/02,06,CA,06037,Los Angeles County,2351103,7688004,33491698,9138812,8129564,4178568,5134018,4748061,1461448,437911,167609,70813,24894,06-06037-20220502,18,5
County,2022/05/03,06,CA,06037,Los Angeles County,2438442,7600665,30469067,7842571,7329428,3865660,4866213,4518404,1408455,401815,151290,62356,22875,06-06037-20220503,18,5
County,2022/05/04,06,CA,06037,Los Angeles County,2323567,7715540,32800125,9184939,8118805,3981505,4858624,4534935,1417704,430800,179034,69652,24127,06-06037-20220504,18,5
County,2022/05/05,06,CA,06037,Los Angeles County,2296039,7743068,33463425,9105018,8301550,4127821,4947499,4700910,1518227,479558,186963,70948,24931,06-06037-20220505,18,5
County,2022/05/06,06,CA,06037,Los Angeles County,2297967,7741140,33338038,8915487,8094601,4178277,5115420,4732824,1510305,493857,196191,75237,25839,06-06037-20220506,18,5
County,2022/05/07,06,CA,06037,Los Angeles County,2479057,7560050,29927242,7477270,7030591,3793719,4802805,4530619,1492111,499780,203853,71798,24696,06-06037-20220507,18,5
County,2022/05/15,06,CA,06037,Los Angeles County,2641519,7397588,28321116,6867510,6668682,3660111,4607222,4343519,1444980,462842,184724,59846,21680,06-06037-20220515,20,5
County,2022/05/16,06,CA,06037,Los Angeles County,2152853,7886254,33367588,9610372,8310758,4135899,5046308,4398528,1318876,330856,143407,50057,22527,06-06037-20220516,20,5
County,2022/05/17,06,CA,06037,Los Angeles County,2486110,7552997,32317815,8302091,7741583,4201581,5199472,4790113,1450621,399025,147576,62157,23596,06-06037-20220517,20,5
County,2022/05/18,06,CA,06037,Los Angeles County,2550115,7488992,31176217,7944186,7396574,4042815,5054779,4700466,1424118,386571,145004,59556,22148,06-06037-20220518,20,5
County,2022/05/19,06,CA,06037,Los Angeles County,2569132,7469975,30951625,7711236,7255366,4054295,5105499,4759835,1440580,396969,147286,58481,22078,06-06037-20220519,20,5
County,2022/05/20,06,CA,06037,Los Angeles County,2227647,7811460,32895560,8926673,7986806,4190967,5236227,4588041,1369737,371061,153430,51491,21127,06-06037-20220520,20,5
County,2022/05/21,06,CA,06037,Los Angeles County,2446978,7592129,32995327,8359376,7776731,4280195,5289799,4914663,1585304,504637,188943,70832,24847,06-06037-20220521,20,5
County,2022/05/29,06,CA,06037,Los Angeles County,2444141,7594966,31182835,7636987,7318375,4060313,5098432,4742095,1526113,506445,201877,68986,23212,06-06037-20220529,22,5
County,2022/05/30,06,CA,06037,Los Angeles County,2445372,7593735,32177867,8404319,7643305,4146346,5221776,4750615,1392494,390490,147482,59055,21985,06-06037-20220530,22,5
County,2022/05/31,06,CA,06037,Los Angeles County,2429833,7609274,28534335,6886598,6779260,3730231,4726522,4460121,1366410,373227,131628,58743,21595,06-06037-20220531,22,5
County,2022/06/01,06,CA,06037,Los Angeles County,2098432,7940675,32307392,9122049,7863596,4032403,5013621,4441260,1309662,326785,120491,53346,24179,06-06037-20220601,22,6
County,2022/06/02,06,CA,06037,Los Angeles County,2438057,7601050,32150470,8157883,7517898,4121603,5227715,4961320,1489578,419551,162664,66175,26083,06-06037-20220602,22,6
County,2022/06/03,06,CA,06037,Los Angeles County,2526771,7512336,30501200,7349343,6969966,3916014,5133347,4909167,1520397,432578,175145,69079,26164,06-06037-20220603,22,6
County,2022/06/04,06,CA,06037,Los Angeles County,2551283,7487824,29586478,6915036,6741056,3791137,4909514,4810529,1601417,514372,203746,73519,26152,06-06037-20220604,22,6
County,2022/06/05,06,CA,06037,Los Angeles County,2585041,7454066,27713755,6646486,6551449,3516711,4451686,4317034,1439788,490244,200857,73291,26209,06-06037-20220605,23,6
County,2022/06/06,06,CA,06037,Los Angeles County,2381598,7657509,31251465,7884752,7290797,3883461,5011868,4867218,1548667,475007,190446,72708,26541,06-06037-20220606,23,6
County,2022/06/07,06,CA,06037,Los Angeles County,2340844,7698263,31797793,7998599,7356826,4023953,5253121,5030252,1502057,406419,140284,61643,24639,06-06037-20220607,23,6
County,2022/06/08,06,CA,06037,Los Angeles County,2374526,7664581,31948582,7785540,7303140,4182165,5430013,5151466,1504725,381775,131623,56677,21458,06-06037-20220608,23,6
